Name,Category,Rating,Reviews,Location_Area
Milan A Speciality Restaurant,Restaurant,4.8,16317,Lucknow
JP Honda Sitapur Road (Daliganj),Honda Dealer,4.8,6944,Lucknow
ISIRI Resto Bar - Theme Restaurant,Bar & Grill,4.5,12128,Bengaluru
Sharma Ji Ki Chai,Restaurant,4.1,29720,Lucknow
R fitness Gym & Swimming Pool,Fitness Center,4.8,6444,Chandigarh
Mocambo Restaurant and Bar,Continental Restaurant,4.3,17094,Kolkata
Tilak Nagar Market,Clothing Store,4.1,27275,Delhi
Amar Palace Chikan Hazratganj,Designer Clothing Store,4.4,10252,Lucknow
German Bakery,Cafe,4.2,14354,Pune
J Hearsch & Co.,Bakery,4.3,11235,Mumbai
